k,threshold,precision,recall,f1,recall_temporal,recall_duration,recall_order,detected_count,total_anomalies
1.0,0.005249032,0.6185567010309279,1.0,0.7643312101910829,1.0,1.0,1.0,97,60
1.5,0.0060703317,0.759493670886076,1.0,0.8633093525179856,1.0,1.0,1.0,79,60
2.0,0.0068916315,0.8955223880597015,1.0,0.9448818897637795,1.0,1.0,1.0,67,60
2.5,0.007712931,0.9090909090909091,1.0,0.9523809523809523,1.0,1.0,1.0,66,60
3.0,0.00853423,0.9836065573770492,1.0,0.9917355371900827,1.0,1.0,1.0,61,60
3.5,0.00935553,0.9830508474576272,0.9666666666666667,0.9747899159663865,1.0,0.9,1.0,59,60
4.0,0.01017683,1.0,0.9166666666666666,0.9565217391304348,1.0,0.75,1.0,55,60
5.0,0.01181943,1.0,0.85,0.918918918918919,1.0,0.55,1.0,51,60
